Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,6e-06,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.9140e-06,0.08,0.16
-2.9120e-06,0.08,0.24
-2.9100e-06,0.08,0.16
-2.9080e-06,0.16,0.08
-2.9060e-06,0,0.16
-2.9040e-06,0.16,0.16
-2.9020e-06,0.16,0.16
-2.9000e-06,0.16,0.16
-2.8980e-06,0.16,0.08
-2.8960e-06,0.08,0.16
-2.8940e-06,0.08,0.16
-2.8920e-06,0.16,0.08
-2.8900e-06,0.08,0.08
-2.8880e-06,0.16,0.08
-2.8860e-06,0.16,0.24
-2.8840e-06,0.08,0.16
-2.8820e-06,0.16,0.24
-2.8800e-06,0.08,0.16
-2.8780e-06,0.16,0.16
-2.8760e-06,0,0.16
-2.8740e-06,0.08,0.16
-2.8720e-06,0.08,0.24
-2.8700e-06,0.16,0.24
-2.8680e-06,0.08,0.24
-2.8660e-06,0.08,0.24
-2.8640e-06,0.16,0.16
-2.8620e-06,0.08,0.16
-2.8600e-06,0.16,0.08
-2.8580e-06,0.08,0.16
-2.8560e-06,0.08,0.16
-2.8540e-06,0.16,0.24
-2.8520e-06,0.16,0.24
-2.8500e-06,0.08,0.16
-2.8480e-06,0.16,0.24
-2.8460e-06,0.16,0.16
-2.8440e-06,0.08,0.08
-2.8420e-06,0.16,0.16
-2.8400e-06,0.08,0.08
-2.8380e-06,0.08,0.16
-2.8360e-06,0.08,0.24
-2.8340e-06,0.16,0.24
-2.8320e-06,0.16,0.16
-2.8300e-06,0,0.08
-2.8280e-06,0.16,0.16
-2.8260e-06,0.08,0.16
-2.8240e-06,0.08,0.16
-2.8220e-06,0.08,0.24
-2.8200e-06,0.08,0.24
-2.8180e-06,0.08,0.08
-2.8160e-06,0.16,0.16
-2.8140e-06,0.08,0.16
-2.8120e-06,0.16,0.24
-2.8100e-06,0.24,0.16
-2.8080e-06,0.16,0.16
-2.8060e-06,0.16,0.08
-2.8040e-06,0,0.16
-2.8020e-06,0.08,0.08
-2.8000e-06,0.08,0.16
-2.7980e-06,0.24,0.08
-2.7960e-06,0.08,0.16
-2.7940e-06,0.16,0.16
-2.7920e-06,0.08,0.16
-2.7900e-06,0.16,0.16
-2.7880e-06,0.16,0.16
-2.7860e-06,0.24,0.24
-2.7840e-06,0.16,0.16
-2.7820e-06,0.08,0.16
-2.7800e-06,0.16,0.16
-2.7780e-06,0.16,0.16
-2.7760e-06,0.16,0.24
-2.7740e-06,0.08,0.16
-2.7720e-06,0.16,0.24
-2.7700e-06,0.16,0.16
-2.7680e-06,0.16,0.16
-2.7660e-06,0.16,0.16
-2.7640e-06,0.08,0.08
-2.7620e-06,0.16,0.16
-2.7600e-06,0.16,0.24
-2.7580e-06,0.16,0.16
-2.7560e-06,0.08,0.16
-2.7540e-06,0.16,0.16
-2.7520e-06,0.08,0.08
-2.7500e-06,0.08,0.16
-2.7480e-06,0.08,0.16
-2.7460e-06,0.08,0.16
-2.7440e-06,0.16,0.08
-2.7420e-06,0.16,0.16
-2.7400e-06,0.08,0.16
-2.7380e-06,0.16,0.16
-2.7360e-06,0.16,0.08
-2.7340e-06,0.08,0.08
-2.7320e-06,0.08,0.16
-2.7300e-06,0.24,0.24
-2.7280e-06,0.16,0.16
-2.7260e-06,0.16,0.16
-2.7240e-06,0.08,0.08
-2.7220e-06,0.08,0.16
-2.7200e-06,0.24,0.08
-2.7180e-06,0.16,0.24
-2.7160e-06,0,0.08
-2.7140e-06,0.08,0.16
-2.7120e-06,0.16,0.24
-2.7100e-06,0.08,0.16
-2.7080e-06,0,0
-2.7060e-06,0.08,0.08
-2.7040e-06,0.08,0.08
-2.7020e-06,0.08,0.08
-2.7000e-06,0.16,0.16
-2.6980e-06,0.16,0.16
-2.6960e-06,0.08,0.08
-2.6940e-06,0.08,0.16
-2.6920e-06,0.08,0.24
-2.6900e-06,0.16,0.08
-2.6880e-06,0.08,0.08
-2.6860e-06,0.08,0.08
-2.6840e-06,0.24,0.16
-2.6820e-06,0.08,0.24
-2.6800e-06,0.24,0.16
-2.6780e-06,0.16,0.16
-2.6760e-06,0.16,0.16
-2.6740e-06,0.16,0.16
-2.6720e-06,0.16,0.16
-2.6700e-06,0.16,0.08
-2.6680e-06,0.16,0.24
-2.6660e-06,0.24,0.08
-2.6640e-06,0.16,0.24
-2.6620e-06,0.08,0.16
-2.6600e-06,0.16,0.24
-2.6580e-06,0.24,0.16
-2.6560e-06,0.08,0.16
-2.6540e-06,0.08,0.16
-2.6520e-06,0.16,0.16
-2.6500e-06,0.16,0.08
-2.6480e-06,0.08,0.16
-2.6460e-06,0.16,0.16
-2.6440e-06,0.08,0.16
-2.6420e-06,0.16,0.16
-2.6400e-06,0.08,0.16
-2.6380e-06,0.16,0.08
-2.6360e-06,0.16,0.08
-2.6340e-06,0,0.16
-2.6320e-06,0.08,0.24
-2.6300e-06,0.16,0.16
-2.6280e-06,0.08,0.16
-2.6260e-06,0.08,0.16
-2.6240e-06,0.16,0.16
-2.6220e-06,0.08,0.08
-2.6200e-06,0.08,0.08
-2.6180e-06,0.16,0.16
-2.6160e-06,0.08,0.08
-2.6140e-06,0.08,0.24
-2.6120e-06,0.16,0.16
-2.6100e-06,0.08,0.16
-2.6080e-06,0.16,0.16
-2.6060e-06,0.16,0.24
-2.6040e-06,0.16,0.08
-2.6020e-06,0.08,0.16
-2.6000e-06,0.16,0.08
-2.5980e-06,0.16,0.16
-2.5960e-06,0.16,0.08
-2.5940e-06,0.08,0.24
-2.5920e-06,0.08,0.16
-2.5900e-06,0.24,0.16
-2.5880e-06,0.16,0.16
-2.5860e-06,0.16,0.16
-2.5840e-06,0.16,0.16
-2.5820e-06,0.16,0.16
-2.5800e-06,0.24,0.16
