Time,Volt
-3.282e-06,0.16
-3.280e-06,0.0803125
-3.278e-06,0.160312
-3.276e-06,0.199688
-3.274e-06,0.159063
-3.272e-06,0.11875
-3.270e-06,0.122813
-3.268e-06,0.318437
-3.266e-06,0.242188
-3.264e-06,0.119375
-3.262e-06,0.0803125
-3.260e-06,0.119375
-3.258e-06,0.16125
-3.256e-06,0.280625
-3.254e-06,0.04875
-3.252e-06,0.085
-3.250e-06,0.319063
-3.248e-06,0.0784375
-3.246e-06,0.242188
-3.244e-06,0.239063
-3.242e-06,0.0403125
-3.240e-06,0.196875
-3.238e-06,0.28
-3.236e-06,0.159688
-3.234e-06,0.201875
-3.232e-06,0.24
-3.230e-06,0.200312
-3.228e-06,0.160625
-3.226e-06,0.19875
-3.224e-06,0.440313
-3.222e-06,0.316875
-3.220e-06,0.239375
-3.218e-06,0.16
-3.216e-06,-0.039375
-3.214e-06,0.0759375
-3.212e-06,0.160312
-3.210e-06,0.15875
-3.208e-06,0.240625
-3.206e-06,0.040625
-3.204e-06,0.076875
-3.202e-06,0.160312
-3.200e-06,0.0828125
-3.198e-06,0.039375
-3.196e-06,0.119687
-3.194e-06,0.12
-3.192e-06,0.159688
-3.190e-06,0.199688
-3.188e-06,0.197813
-3.186e-06,0.240625
-3.184e-06,0.16
-3.182e-06,0.240625
-3.180e-06,0.239375
-3.178e-06,0.199063
-3.176e-06,0.24375
-3.174e-06,0.0403125
-3.172e-06,0.16
-3.170e-06,0.2
-3.168e-06,0.162188
-3.166e-06,0.4
-3.164e-06,0.160938
-3.162e-06,0.157188
-3.160e-06,0.279062
-3.158e-06,0.200625
-3.156e-06,0.0796875
-3.154e-06,0.120313
-3.152e-06,0.16
-3.150e-06,0.12125
-3.148e-06,0.0371875
-3.146e-06,0.199375
-3.144e-06,0.08
-3.142e-06,0.12
-3.140e-06,0.12
-3.138e-06,0.079375
-3.136e-06,0.122188
-3.134e-06,-0.0396875
-3.132e-06,0.000625
-3.130e-06,0.159688
-3.128e-06,0.04
-3.126e-06,0.16
-3.124e-06,0.04
-3.122e-06,0.036875
-3.120e-06,0.119375
-3.118e-06,0.2
-3.116e-06,0.199063
-3.114e-06,0.0003125
-3.112e-06,0.16
-3.110e-06,0
-3.108e-06,0.195938
-3.106e-06,0.16
-3.104e-06,0.078125
-3.102e-06,-0.079375
-3.100e-06,0.160938
-3.098e-06,0.120313
-3.096e-06,0.199063
-3.094e-06,0.078125
-3.092e-06,0.0415625
-3.090e-06,0.24
-3.088e-06,0.119063
-3.086e-06,0.200312
-3.084e-06,0.20125
-3.082e-06,0.0390625
-3.080e-06,0.160312
-3.078e-06,0.0390625
-3.076e-06,0.28
-3.074e-06,0.078125
-3.072e-06,0.0796875
-3.070e-06,0.123438
-3.068e-06,-0.079375
-3.066e-06,0.0375
-3.064e-06,0.120313
-3.062e-06,0.076875
-3.060e-06,-0.0396875
-3.058e-06,0.157813
-3.056e-06,0.206563
-3.054e-06,0.04
-3.052e-06,0.120938
-3.050e-06,0.12
-3.048e-06,0.119687
-3.046e-06,0.04
-3.044e-06,0.07875
-3.042e-06,0.160625
-3.040e-06,0.08
-3.038e-06,0.160938
-3.036e-06,0.2
-3.034e-06,0.159375
-3.032e-06,0.0803125
-3.030e-06,0.198438
-3.028e-06,0.161563
-3.026e-06,0.08
-3.024e-06,0.0009375
-3.022e-06,0.200625
-3.020e-06,0.16
-3.018e-06,0.201875
-3.016e-06,0
-3.014e-06,0.200312
-3.012e-06,0.0815625
-3.010e-06,0.320313
-3.008e-06,0.0765625
-3.006e-06,0.123125
-3.004e-06,0.36125
-3.002e-06,0.0425
-3.000e-06,0.080625
-2.998e-06,0.2
-2.996e-06,0.118125
-2.994e-06,0.121562
-2.992e-06,0.28
-2.990e-06,0.279375
-2.988e-06,0.280625
-2.986e-06,0.079375
-2.984e-06,0.202188
-2.982e-06,0.158125
-2.980e-06,0.16
-2.978e-06,0.199063
-2.976e-06,0.240625
-2.974e-06,0.279375
-2.972e-06,0.157188
-2.970e-06,0.121562
-2.968e-06,0.281875
-2.966e-06,0.32
-2.964e-06,0.083125
-2.962e-06,0.08
-2.960e-06,0.120313
-2.958e-06,0.200937
-2.956e-06,0.239688
-2.954e-06,0.2
-2.952e-06,0.24
-2.950e-06,0.2
-2.948e-06,0.24
-2.946e-06,0.2
-2.944e-06,0.23875
-2.942e-06,0.119687
-2.940e-06,0.239375
-2.938e-06,0.285625
-2.936e-06,0.0403125
-2.934e-06,0.280625
-2.932e-06,0.118125
-2.930e-06,0.241563
-2.928e-06,0.159688
