Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0.0003,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.474e-04,0.08,0.4
-1.473e-04,0.16,0.2
-1.472e-04,0.16,0.2
-1.471e-04,0.08,0.2
-1.470e-04,0.16,0.2
-1.469e-04,0.16,0.2
-1.468e-04,0.16,0.4
-1.467e-04,0.16,0.2
-1.466e-04,0.08,0.2
-1.465e-04,0.16,0.2
-1.464e-04,0.16,0.4
-1.463e-04,0.16,0.2
-1.462e-04,0.08,0.2
-1.461e-04,0.08,0.4
-1.460e-04,0.16,0.2
-1.459e-04,0.08,0.2
-1.458e-04,0.16,0.2
-1.457e-04,0,0.2
-1.456e-04,0.16,0.4
-1.455e-04,0.16,0.2
-1.454e-04,0.24,0.4
-1.453e-04,0.16,0.2
-1.452e-04,0.16,0.2
-1.451e-04,0.16,0.2
-1.450e-04,0.16,0.4
-1.449e-04,0.16,0.2
-1.448e-04,0.16,0.4
-1.447e-04,0,0.4
-1.446e-04,0.08,0.4
-1.445e-04,0.08,0.2
-1.444e-04,0.24,0.4
-1.443e-04,0.08,0.2
-1.442e-04,0.08,0.4
-1.441e-04,0.08,0.2
-1.440e-04,0.16,0.2
-1.439e-04,0.16,0.2
-1.438e-04,0.08,0.4
-1.437e-04,0.08,0
-1.436e-04,0.08,0.6
-1.435e-04,0.16,0.4
-1.434e-04,0.08,0.2
-1.433e-04,0,0.2
-1.432e-04,0.16,0.2
-1.431e-04,0.08,0.2
-1.430e-04,0.16,0.2
-1.429e-04,0.08,0.2
-1.428e-04,0.08,0.6
-1.427e-04,0.08,0.2
-1.426e-04,0.08,0.4
-1.425e-04,0.08,0.2
-1.424e-04,0.08,0.4
-1.423e-04,0.08,0.2
-1.422e-04,0.08,0.4
-1.421e-04,0.16,0.4
-1.420e-04,0.24,0.4
-1.419e-04,0.08,0.4
-1.418e-04,0.16,0.4
-1.417e-04,0.08,0.4
-1.416e-04,0.08,0.2
-1.415e-04,0.16,0.2
-1.414e-04,0.08,0.4
-1.413e-04,0.16,0.4
-1.412e-04,0.08,0.2
-1.411e-04,0.08,0.4
-1.410e-04,0.16,0.2
-1.409e-04,0.16,0.2
-1.408e-04,0.08,0
-1.407e-04,0.08,0.2
-1.406e-04,0.16,0.4
-1.405e-04,0.16,0.4
-1.404e-04,0.24,0.4
-1.403e-04,0.08,0.4
-1.402e-04,0.08,0.2
-1.401e-04,0.08,0.4
-1.400e-04,0.08,0.2
-1.399e-04,0.16,0.4
-1.398e-04,0.16,0.2
-1.397e-04,0.24,0.4
-1.396e-04,0.16,0.2
-1.395e-04,0.16,0.4
-1.394e-04,0.16,0.2
-1.393e-04,0.16,0.2
-1.392e-04,0.16,0.4
-1.391e-04,0.16,0.4
-1.390e-04,0.08,0.4
-1.389e-04,0.08,0.4
-1.388e-04,0.08,0.4
-1.387e-04,0.16,0.4
-1.386e-04,0,0.2
-1.385e-04,0,0.2
-1.384e-04,0.16,0.4
-1.383e-04,0.16,0.2
-1.382e-04,0.08,0.2
-1.381e-04,0.08,0.2
-1.380e-04,0.24,0.2
-1.379e-04,0.08,0.2
-1.378e-04,0.08,0.2
-1.377e-04,0.24,0.4
-1.376e-04,0.16,0.2
-1.375e-04,0.24,0.2
-1.374e-04,0.16,0.6
-1.373e-04,0.16,0.4
-1.372e-04,0.24,0.2
-1.371e-04,0.16,0.4
-1.370e-04,0.08,0.2
-1.369e-04,0.16,0.4
-1.368e-04,0.08,0.2
-1.367e-04,0.16,0.4
-1.366e-04,0.16,-0.2
-1.365e-04,0.24,0.2
-1.364e-04,0.16,0.4
-1.363e-04,0.08,0.2
-1.362e-04,0.08,0.2
-1.361e-04,0.16,0.4
-1.360e-04,0.16,0.4
-1.359e-04,0.08,0.2
-1.358e-04,0.16,0.2
-1.357e-04,0.16,0.2
-1.356e-04,0.16,0.4
-1.355e-04,0,0.4
-1.354e-04,0.16,0.2
-1.353e-04,0.08,0.4
-1.352e-04,0.16,0.2
-1.351e-04,0.08,0.2
-1.350e-04,0.16,0.2
-1.349e-04,0.16,0.4
-1.348e-04,0.08,0.2
-1.347e-04,0.16,0.2
-1.346e-04,0.16,0.2
-1.345e-04,0.08,0.4
-1.344e-04,0.08,0.2
-1.343e-04,0.08,0.2
-1.342e-04,0.08,0.4
-1.341e-04,0.08,0.2
-1.340e-04,0.16,0.2
-1.339e-04,0.16,0.4
-1.338e-04,0.16,0.2
-1.337e-04,0.16,0.2
-1.336e-04,0.08,0
-1.335e-04,0.16,0.4
-1.334e-04,0.08,0.4
-1.333e-04,0.16,0.2
-1.332e-04,0.16,0.4
-1.331e-04,0.16,0.4
-1.330e-04,0.16,0.2
-1.329e-04,0.08,0.4
-1.328e-04,0.16,0.2
-1.327e-04,0.16,0.4
-1.326e-04,0.24,0.2
-1.325e-04,0.16,0.4
-1.324e-04,0.08,0.4
-1.323e-04,0.16,0.2
-1.322e-04,0.08,0.2
-1.321e-04,0.08,0.2
-1.320e-04,0.08,0.2
-1.319e-04,0.08,0.4
-1.318e-04,0.08,0.2
-1.317e-04,0.16,0.4
-1.316e-04,0.16,0.4
-1.315e-04,0.16,0.4
-1.314e-04,0.08,0.2
-1.313e-04,0.16,0.4
-1.312e-04,0.16,0.2
-1.311e-04,0.16,0.4
-1.310e-04,0.16,0.2
-1.309e-04,0.08,0.4
-1.308e-04,0.16,0.2
-1.307e-04,0.08,0.2
-1.306e-04,0.08,0.6
-1.305e-04,0.16,0.2
-1.304e-04,0.08,0.2
-1.303e-04,0.16,0.4
-1.302e-04,0.16,0.4
-1.301e-04,0.08,0
-1.300e-04,0.16,0.2
-1.299e-04,0.24,0.4
-1.298e-04,0.16,0.4
-1.297e-04,0.16,0.4
-1.296e-04,0,0.2
-1.295e-04,0.08,0.4
-1.294e-04,0.16,0.2
-1.293e-04,0.08,0.2
-1.292e-04,0.16,0.4
-1.291e-04,0.08,0.4
